date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:30	84680/84680	---M--	200	added ('OK')	image/jpeg	etag:%2214ac8-594520e8e3db0%22	https://caacongo.com/images/room-7.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/room-7.jpg	(from https://caacongo.com/membres.html)
11:08:38	14385/14385	---M-Z	200	added ('OK')	text/html	etag:%223831-59451f3c8b2cc-gzip%22	https://caacongo.com/hoffres.html	D:/Mes%20Projets/web/caa/caacongo.com/hoffres.html	(from https://caacongo.com/membres.html)
11:08:58	104163/104163	---M--	200	added ('OK')	image/jpeg	etag:%22196e3-594520ea2cf3d%22	https://caacongo.com/images/room-5.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/room-5.jpg	(from https://caacongo.com/membres.html)
11:09:03	14175/14175	---M-Z	200	added ('OK')	text/html	etag:%22375f-59451f3c44dd0-gzip%22	https://caacongo.com/hpartenaires.html	D:/Mes%20Projets/web/caa/caacongo.com/hpartenaires.html	(from https://caacongo.com/membres.html)
11:09:04	141572/141572	---M--	200	added ('OK')	image/jpeg	etag:%2222904-594520e87b5d6%22	https://caacongo.com/images/room-8.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/room-8.jpg	(from https://caacongo.com/membres.html)
11:09:06	14280/14280	---M-Z	200	added ('OK')	text/html	etag:%2237c8-59451f3ae7424-gzip%22	https://caacongo.com/faq.html	D:/Mes%20Projets/web/caa/caacongo.com/faq.html	(from https://caacongo.com/membres.html)
11:09:10	57214/57214	---M--	200	added ('OK')	image/jpeg	etag:%22df7e-594520e93100b%22	https://caacongo.com/images/room-10.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/room-10.jpg	(from https://caacongo.com/membres.html)
11:09:11	116489/116489	---M--	200	added ('OK')	image/jpeg	etag:%221c709-594520ea2811d%22	https://caacongo.com/images/room-9.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/room-9.jpg	(from https://caacongo.com/membres.html)
11:09:18	80126/80126	---M--	200	added ('OK')	image/jpeg	etag:%22138fe-594520ebb6806%22	https://caacongo.com/images/horizmap.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/horizmap.jpg	(from https://caacongo.com/horizons.html)
11:09:18	296047/296047	---M--	200	added ('OK')	image/jpeg	etag:%224846f-5f1d1b3341dcd%22	https://caacongo.com/images/drcmap12.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/drcmap12.jpg	(from https://caacongo.com/destinations.html)
11:09:40	289555/289555	---M--	200	added ('OK')	image/jpeg	etag:%2246b13-5bdd17c284654%22	https://caacongo.com/images/cargomap02.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/cargomap02.jpg	(from https://caacongo.com/cargo.html)
11:09:50	118399/118399	---M--	200	added ('OK')	image/jpeg	etag:%221ce7f-5bdd17acf1088%22	https://caacongo.com/images/cargo-1.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/cargo-1.jpg	(from https://caacongo.com/cargo.html)
11:09:58	394145/394145	---M--	200	added ('OK')	image/jpeg	etag:%22603a1-5bdd17ae2b7b7%22	https://caacongo.com/images/cargomap03.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/cargomap03.jpg	(from https://caacongo.com/cargo.html)
11:10:09	448479/448479	---M--	200	added ('OK')	image/jpeg	etag:%226d7df-5bdd17aad5fa6%22	https://caacongo.com/images/cargomap04.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/cargomap04.jpg	(from https://caacongo.com/cargo.html)
11:10:11	765418/765418	---M--	200	added ('OK')	image/jpeg	etag:%22badea-5bdd17aff869d%22	https://caacongo.com/images/img_bg_1c.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/img_bg_1c.jpg	(from https://caacongo.com/cargo.html)
11:10:14	193440/193440	UR-M--	200	added ('Partial%20Content')	application/vnd.ms-fontobject	etag:%222f3a0-58232f71b87d4%22	https://caacongo.com/fonts/icomoon/icomoon.eot?srf3rx	D:/Mes%20Projets/web/caa/caacongo.com/fonts/icomoon/icomoona57c.eot	(from https://caacongo.com/css/style.css)
11:10:15	135220/135220	---M--	200	added ('OK')	image/jpeg	etag:%2221034-5bdd17afac3e1%22	https://caacongo.com/images/cargo-2.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/cargo-2.jpg	(from https://caacongo.com/cargo.html)
11:10:16	203274/203274	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2231a0a-58232f57db7e2%22	https://caacongo.com/images/bia.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/bia.jpg	(from https://caacongo.com/contacts.html)
11:10:18	147351/147351	---M--	200	added ('OK')	image/jpeg	etag:%2223f97-5bdd17abc24d9%22	https://caacongo.com/images/cargo-3.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/cargo-3.jpg	(from https://caacongo.com/cargo.html)
11:10:18	213448/213448	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%22341c8-594520eb05bf1%22	https://caacongo.com/images/horizmap02.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/horizmap02.jpg	(from https://caacongo.com/membres.html)
11:10:18	67126/67126	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2210636-594520ec3c49f%22	https://caacongo.com/images/room-1.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/room-1.jpg	(from https://caacongo.com/membres.html)
11:10:23	140079/140079	---M--	200	added ('OK')	image/jpeg	etag:%222232f-59451f97bb93c%22	https://caacongo.com/images/horizmap07.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/horizmap07.jpg	(from https://caacongo.com/statuts.html)
11:10:31	197636/197636	---M--	200	added ('OK')	image/jpeg	etag:%2230404-594520e9ab124%22	https://caacongo.com/images/horizmap03.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/horizmap03.jpg	(from https://caacongo.com/redeem.html)
11:10:32	235060/235060	---M--	200	added ('OK')	image/jpeg	etag:%2239634-594520f2c32a0%22	https://caacongo.com/images/horizmap04.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/horizmap04.jpg	(from https://caacongo.com/statuts.html)
11:10:34	99134/99134	---M--	200	added ('OK')	image/jpeg	etag:%221833e-59451f97a9ffd%22	https://caacongo.com/images/horizmap10.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/horizmap10.jpg	(from https://caacongo.com/hoffres.html)
11:10:42	296157/296157	---M--	200	added ('OK')	image/jpeg	etag:%22484dd-594520ead0094%22	https://caacongo.com/images/horizmap05.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/horizmap05.jpg	(from https://caacongo.com/cumuler.html)
11:10:43	281500/281500	---M--	200	added ('OK')	image/jpeg	etag:%2244b9c-59451f985ea93%22	https://caacongo.com/images/horizmap09.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/horizmap09.jpg	(from https://caacongo.com/hpartenaires.html)
11:10:43	14949/14949	---M-Z	200	added ('OK')	text/html	etag:%223a65-5bdd1377cae18-gzip%22	https://caacongo.com/hcontacts.html	D:/Mes%20Projets/web/caa/caacongo.com/hcontacts.html	(from https://caacongo.com/membres.html)
11:10:48	111938/111938	---M--	200	added ('OK')	image/jpeg	etag:%221b542-59451f968ae4d%22	https://caacongo.com/images/horizmap08.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/horizmap08.jpg	(from https://caacongo.com/faq.html)
11:11:00	110942/110942	---M--	200	added ('OK')	image/jpeg	etag:%221b15e-59451f7a2864b%22	https://caacongo.com/images/horizmap11.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/horizmap11.jpg	(from https://caacongo.com/hcontacts.html)
